"crime","zone","nonretail","river","nox","room","age","distance","tax","PTratio","lower","value"
0.0566,0,3.41,"No",0.489,7.007,86.3,3.4217,270,17.8,5.5,23.6
37.6619,0,18.1,"No",0.679,6.202,78.7,1.8629,666,20.2,14.52,10.9
6.65492,0,18.1,"No",0.713,6.317,83,2.7344,666,20.2,13.99,19.5
0.0459,52.5,5.32,"No",0.405,6.315,45.6,7.3172,293,16.6,7.6,22.3
0.05497,0,5.19,"No",0.515,5.985,45.4,4.8122,224,20.2,9.74,19
73.5341,0,18.1,"No",0.679,5.957,100,1.8026,666,20.2,20.62,8.8
0.19186,0,7.38,"No",0.493,6.431,14.7,5.4159,287,19.6,5.08,24.6
0.18337,0,27.74,"No",0.609,5.414,98.3,1.7554,711,20.1,23.97,7
0.12744,0,6.91,"No",0.448,6.77,2.9,5.7209,233,17.9,4.84,26.6
7.02259,0,18.1,"No",0.718,6.006,95.3,1.8746,666,20.2,15.7,14.2
0.10793,0,8.56,"No",0.52,6.195,54.4,2.7778,384,20.9,13,21.7
24.8017,0,18.1,"No",0.693,5.349,96,1.7028,666,20.2,19.77,8.3
14.0507,0,18.1,"No",0.597,6.657,100,1.5275,666,20.2,21.22,17.2
0.7258,0,8.14,"No",0.538,5.727,69.5,3.7965,307,21,11.28,18.2
0.15936,0,6.91,"No",0.448,6.211,6.5,5.7209,233,17.9,7.44,24.7
15.288,0,18.1,"No",0.671,6.649,93.3,1.3449,666,20.2,23.24,13.9
0.02498,0,1.89,"No",0.518,6.54,59.7,6.2669,422,15.9,8.65,16.5
0.12816,12.5,6.07,"No",0.409,5.885,33,6.498,345,18.9,8.79,20.9
0.06899,0,25.65,"No",0.581,5.87,69.7,2.2577,188,19.1,14.37,22
0.02763,75,2.95,"No",0.428,6.595,21.8,5.4011,252,18.3,4.32,30.8
2.3139,0,19.58,"No",0.605,5.88,97.3,2.3887,403,14.7,12.03,19.1
0.75026,0,8.14,"No",0.538,5.924,94.1,4.3996,307,21,16.3,15.6
18.4982,0,18.1,"No",0.668,4.138,100,1.137,666,20.2,37.97,13.8
0.19657,22,5.86,"No",0.431,6.226,79.2,8.0555,330,19.1,10.15,20.5
0.04666,80,1.52,"No",0.404,7.107,36.6,7.309,329,12.6,8.61,30.3
9.82349,0,18.1,"No",0.671,6.794,98.8,1.358,666,20.2,21.24,13.3
0.17505,0,5.96,"No",0.499,5.966,30.2,3.8473,279,19.2,10.13,24.7
13.9134,0,18.1,"No",0.713,6.208,95,2.2222,666,20.2,15.17,11.7
0.14103,0,13.92,"No",0.437,5.79,58,6.32,289,16,15.84,20.3
8.15174,0,18.1,"No",0.7,5.39,98.9,1.7281,666,20.2,20.85,11.5
0.21038,20,3.33,"No",0.4429,6.812,32.2,4.1007,216,14.9,4.85,35.1
1.42502,0,19.58,"No",0.871,6.51,100,1.7659,403,14.7,7.39,23.3
0.62976,0,8.14,"No",0.538,5.949,61.8,4.7075,307,21,8.26,20.4
0.88125,0,21.89,"No",0.624,5.637,94.7,1.9799,437,21.2,18.34,14.3
0.12269,0,6.91,"No",0.448,6.069,40,5.7209,233,17.9,9.55,21.2
14.2362,0,18.1,"No",0.693,6.343,100,1.5741,666,20.2,20.32,7.2
0.85204,0,8.14,"No",0.538,5.965,89.2,4.0123,307,21,13.83,19.6
0.13642,0,10.59,"No",0.489,5.891,22.3,3.9454,277,18.6,10.87,22.6
0.44178,0,6.2,"No",0.504,6.552,21.4,3.3751,307,17.4,3.76,31.5
0.08664,45,3.44,"No",0.437,7.178,26.3,6.4798,398,15.2,2.87,36.4
6.53876,0,18.1,"Yes",0.631,7.016,97.5,1.2024,666,20.2,2.96,50
0.21161,0,8.56,"No",0.52,6.137,87.4,2.7147,384,20.9,13.44,19.3
0.22438,0,9.69,"No",0.585,6.027,79.7,2.4982,391,19.2,14.33,16.8
0.04819,80,3.64,"No",0.392,6.108,32,9.2203,315,16.4,6.57,21.9
7.52601,0,18.1,"No",0.713,6.417,98.3,2.185,666,20.2,19.31,13
11.1604,0,18.1,"No",0.74,6.629,94.6,2.1247,666,20.2,23.27,13.4
0.22876,0,8.56,"No",0.52,6.405,85.4,2.7147,384,20.9,10.63,18.6
0.04544,0,3.24,"No",0.46,6.144,32.2,5.8736,430,16.9,9.09,19.8
0.09378,12.5,7.87,"No",0.524,5.889,39,5.4509,311,15.2,15.71,21.7
0.12932,0,13.92,"No",0.437,6.678,31.1,5.9604,289,16,6.27,28.6
5.73116,0,18.1,"No",0.532,7.061,77,3.4106,666,20.2,7.01,25
0.06664,0,4.05,"No",0.51,6.546,33.1,3.1323,296,16.6,5.33,29.4
0.03049,55,3.78,"No",0.484,6.874,28.1,6.4654,370,17.6,4.61,31.2
0.07978,40,6.41,"No",0.447,6.482,32.1,4.1403,254,17.6,7.19,29.1
0.26363,0,8.56,"No",0.52,6.229,91.2,2.5451,384,20.9,15.55,19.4
0.03551,25,4.86,"No",0.426,6.167,46.7,5.4007,281,19,7.51,22.9
5.20177,0,18.1,"Yes",0.77,6.127,83.4,2.7227,666,20.2,11.48,22.7
0.77299,0,8.14,"No",0.538,6.495,94.4,4.4547,307,21,12.8,18.4
0.2909,0,21.89,"No",0.624,6.174,93.6,1.6119,437,21.2,24.16,14
0.21409,22,5.86,"No",0.431,6.438,8.9,7.3967,330,19.1,3.59,24.8
67.9208,0,18.1,"No",0.693,5.683,100,1.4254,666,20.2,22.98,5
0.35809,0,6.2,"Yes",0.507,6.951,88.5,2.8617,307,17.4,9.71,26.7
7.83932,0,18.1,"No",0.655,6.209,65.4,2.9634,666,20.2,13.22,21.4
0.13117,0,8.56,"No",0.52,6.127,85.2,2.1224,384,20.9,14.09,20.4
0.1,34,6.09,"No",0.433,6.982,17.7,5.4917,329,16.1,4.86,33.1
1.38799,0,8.14,"No",0.538,5.95,82,3.99,307,21,27.71,13.2
5.66637,0,18.1,"No",0.74,6.219,100,2.0048,666,20.2,16.59,18.4
2.33099,0,19.58,"No",0.871,5.186,93.8,1.5296,403,14.7,28.32,17.8
0.01965,80,1.76,"No",0.385,6.23,31.5,9.0892,241,18.2,12.93,20.1
0.11432,0,8.56,"No",0.52,6.781,71.3,2.8561,384,20.9,7.67,26.5
2.77974,0,19.58,"No",0.871,4.903,97.8,1.3459,403,14.7,29.29,11.8
4.83567,0,18.1,"No",0.583,5.905,53.2,3.1523,666,20.2,11.45,20.6
4.81213,0,18.1,"No",0.713,6.701,90,2.5975,666,20.2,16.42,16.4
0.03306,0,5.19,"No",0.515,6.059,37.3,4.8122,224,20.2,8.51,20.6
0.15098,0,10.01,"No",0.547,6.021,82.6,2.7474,432,17.8,10.3,19.2
0.03113,0,4.39,"No",0.442,6.014,48.5,8.0136,352,18.8,10.53,17.5
18.811,0,18.1,"No",0.597,4.628,100,1.5539,666,20.2,34.37,17.9
0.1712,0,8.56,"No",0.52,5.836,91.9,2.211,384,20.9,18.66,19.5
0.1265,25,5.13,"No",0.453,6.762,43.4,7.9809,284,19.7,9.5,25
0.6147,0,6.2,"No",0.507,6.618,80.8,3.2721,307,17.4,7.6,30.1
8.49213,0,18.1,"No",0.584,6.348,86.1,2.0527,666,20.2,17.64,14.5
0.25356,0,9.9,"No",0.544,5.705,77.7,3.945,304,18.4,11.5,16.2
0.08873,21,5.64,"No",0.439,5.963,45.7,6.8147,243,16.8,13.45,19.7
18.0846,0,18.1,"No",0.679,6.434,100,1.8347,666,20.2,29.05,7.2
14.3337,0,18.1,"No",0.614,6.229,88,1.9512,666,20.2,13.11,21.4
0.35233,0,21.89,"No",0.624,6.454,98.4,1.8498,437,21.2,14.59,17.1
0.04527,0,11.93,"No",0.573,6.12,76.7,2.2875,273,21,9.08,20.6
0.17783,0,9.69,"No",0.585,5.569,73.5,2.3999,391,19.2,15.1,17.5
0.03705,20,3.33,"No",0.4429,6.968,37.2,5.2447,216,14.9,4.59,35.4
3.32105,0,19.58,"Yes",0.871,5.403,100,1.3216,403,14.7,26.82,13.4
0.00906,90,2.97,"No",0.4,7.088,20.8,7.3073,285,15.3,7.85,32.2
2.44953,0,19.58,"No",0.605,6.402,95.2,2.2625,403,14.7,11.32,22.3
0.22927,0,6.91,"No",0.448,6.03,85.5,5.6894,233,17.9,18.8,16.6
0.0351,95,2.68,"No",0.4161,7.853,33.2,5.118,224,14.7,3.81,48.5
0.08199,0,13.92,"No",0.437,6.009,42.3,5.5027,289,16,10.4,21.7
0.98843,0,8.14,"No",0.538,5.813,100,4.0952,307,21,19.88,14.5
0.06588,0,2.46,"No",0.488,7.765,83.3,2.741,193,17.8,7.56,39.8
0.14052,0,10.59,"No",0.489,6.375,32.3,3.9454,277,18.6,9.38,28.1
6.39312,0,18.1,"No",0.584,6.162,97.4,2.206,666,20.2,24.1,13.3
0.31533,0,6.2,"No",0.504,8.266,78.3,2.8944,307,17.4,4.14,44.8
0.26838,0,9.69,"No",0.585,5.794,70.6,2.8927,391,19.2,14.1,18.3
9.72418,0,18.1,"No",0.74,6.406,97.2,2.0651,666,20.2,19.52,17.1
1.83377,0,19.58,"Yes",0.605,7.802,98.2,2.0407,403,14.7,1.92,50
0.1415,0,6.91,"No",0.448,6.169,6.6,5.7209,233,17.9,5.81,25.3
0.00632,18,2.31,"No",0.538,6.575,65.2,4.09,296,15.3,4.98,24
11.8123,0,18.1,"No",0.718,6.824,76.5,1.794,666,20.2,22.74,8.4
0.08707,0,12.83,"No",0.437,6.14,45.8,4.0905,398,18.7,10.27,20.8
6.44405,0,18.1,"No",0.584,6.425,74.8,2.2004,666,20.2,12.03,16.1
0.01501,90,1.21,"Yes",0.401,7.923,24.8,5.885,198,13.6,3.16,50
0.17134,0,10.01,"No",0.547,5.928,88.2,2.4631,432,17.8,15.76,18.3
0.57529,0,6.2,"No",0.507,8.337,73.3,3.8384,307,17.4,2.47,41.7
0.03615,80,4.95,"No",0.411,6.63,23.4,5.1167,245,19.2,4.7,27.9
0.14932,25,5.13,"No",0.453,5.741,66.2,7.2254,284,19.7,13.15,18.7
0.05735,0,4.49,"No",0.449,6.63,56.1,4.4377,247,18.5,6.53,26.6
0.30347,0,7.38,"No",0.493,6.312,28.9,5.4159,287,19.6,6.15,23
12.0482,0,18.1,"No",0.614,5.648,87.6,1.9512,666,20.2,14.1,20.8
0.04301,80,1.91,"No",0.413,5.663,21.9,10.5857,334,22,8.05,18.2
0.17899,0,9.69,"No",0.585,5.67,28.8,2.7986,391,19.2,17.6,23.1
0.05561,70,2.24,"No",0.4,7.041,10,7.8278,358,14.8,4.74,29
0.25387,0,6.91,"No",0.448,5.399,95.3,5.87,233,17.9,30.81,14.4
8.71675,0,18.1,"No",0.693,6.471,98.8,1.7257,666,20.2,17.12,13.1
0.10612,30,4.93,"No",0.428,6.095,65.1,6.3361,300,16.6,12.4,20.1
0.19133,22,5.86,"No",0.431,5.605,70.2,7.9549,330,19.1,18.46,18.5
0.05515,33,2.18,"No",0.472,7.236,41.1,4.022,222,18.4,6.93,36.1
0.05479,33,2.18,"No",0.472,6.616,58.1,3.37,222,18.4,8.93,28.4
0.33983,22,5.86,"No",0.431,6.108,34.9,8.0555,330,19.1,9.16,24.3
0.08244,30,4.93,"No",0.428,6.481,18.5,6.1899,300,16.6,6.36,23.7
0.11069,0,13.89,"Yes",0.55,5.951,93.8,2.8893,276,16.4,17.92,21.5
0.97617,0,21.89,"No",0.624,5.757,98.4,2.346,437,21.2,17.31,15.6
3.77498,0,18.1,"No",0.655,5.952,84.7,2.8715,666,20.2,17.15,19
5.82115,0,18.1,"No",0.713,6.513,89.9,2.8016,666,20.2,10.29,20.2
13.3598,0,18.1,"No",0.693,5.887,94.7,1.7821,666,20.2,16.35,12.7
0.0536,21,5.64,"No",0.439,6.511,21.1,6.8147,243,16.8,5.28,25
9.96654,0,18.1,"No",0.74,6.485,100,1.9784,666,20.2,18.85,15.4
25.0461,0,18.1,"No",0.693,5.987,100,1.5888,666,20.2,26.77,5.6
0.01951,17.5,1.38,"No",0.4161,7.104,59.5,9.2229,216,18.6,8.05,33
11.0874,0,18.1,"No",0.718,6.411,100,1.8589,666,20.2,15.02,16.7
2.81838,0,18.1,"No",0.532,5.762,40.3,4.0983,666,20.2,10.42,21.8
0.15038,0,25.65,"No",0.581,5.856,97,1.9444,188,19.1,25.41,17.3
0.10153,0,12.83,"No",0.437,6.279,74.5,4.0522,398,18.7,11.97,20
0.07013,0,13.89,"No",0.55,6.642,85.1,3.4211,276,16.4,9.69,28.7
0.12083,0,2.89,"No",0.445,8.069,76,3.4952,276,18,4.21,38.7
0.02187,60,2.93,"No",0.401,6.8,9.9,6.2196,265,15.6,5.03,31.1
0.80271,0,8.14,"No",0.538,5.456,36.6,3.7965,307,21,11.69,20.2
0.1146,20,6.96,"No",0.464,6.538,58.7,3.9175,223,18.6,7.73,24.4
1.13081,0,8.14,"No",0.538,5.713,94.1,4.233,307,21,22.6,12.7
0.09178,0,4.05,"No",0.51,6.416,84.1,2.6463,296,16.6,9.04,23.6
0.52058,0,6.2,"Yes",0.507,6.631,76.5,4.148,307,17.4,9.54,25.1
0.07896,0,12.83,"No",0.437,6.273,6,4.2515,398,18.7,6.78,24.1
0.62739,0,8.14,"No",0.538,5.834,56.5,4.4986,307,21,8.47,19.9
8.20058,0,18.1,"No",0.713,5.936,80.3,2.7792,666,20.2,16.94,13.5
0.55007,20,3.97,"No",0.647,7.206,91.6,1.9301,264,13,8.1,36.5
0.07244,60,1.69,"No",0.411,5.884,18.5,10.7103,411,18.3,7.79,18.6
0.03932,0,3.41,"No",0.489,6.405,73.9,3.0921,270,17.8,8.2,22
0.07165,0,25.65,"No",0.581,6.004,84.1,2.1974,188,19.1,14.27,20.3
1.49632,0,19.58,"No",0.871,5.404,100,1.5916,403,14.7,13.28,19.6
5.29305,0,18.1,"No",0.7,6.051,82.5,2.1678,666,20.2,18.76,23.2
0.22969,0,10.59,"No",0.489,6.326,52.5,4.3549,277,18.6,10.97,24.4
0.16439,22,5.86,"No",0.431,6.433,49.1,7.8265,330,19.1,9.52,24.5
10.6718,0,18.1,"No",0.74,6.459,94.8,1.9879,666,20.2,23.98,11.8
0.29819,0,6.2,"No",0.504,7.686,17,3.3751,307,17.4,3.92,46.7
0.54452,0,21.89,"No",0.624,6.151,97.9,1.6687,437,21.2,18.46,17.8
0.16902,0,25.65,"No",0.581,5.986,88.4,1.9929,188,19.1,14.81,21.4
12.8023,0,18.1,"No",0.74,5.854,96.6,1.8956,666,20.2,23.79,10.8
13.5222,0,18.1,"No",0.631,3.863,100,1.5106,666,20.2,13.33,23.1
0.24103,0,7.38,"No",0.493,6.083,43.7,5.4159,287,19.6,12.79,22.2
0.29916,20,6.96,"No",0.464,5.856,42.1,4.429,223,18.6,13,21.1
0.02543,55,3.78,"No",0.484,6.696,56.4,5.7321,370,17.6,7.18,23.9
0.01301,35,1.52,"No",0.442,7.241,49.3,7.0379,284,15.5,5.49,32.7
0.03466,35,6.06,"No",0.4379,6.031,23.3,6.6407,304,16.9,7.83,19.4
0.37578,0,10.59,"Yes",0.489,5.404,88.6,3.665,277,18.6,23.98,19.3
0.38735,0,25.65,"No",0.581,5.613,95.6,1.7572,188,19.1,27.26,15.7
0.59005,0,21.89,"No",0.624,6.372,97.9,2.3274,437,21.2,11.12,23
0.03359,75,2.95,"No",0.428,7.024,15.8,5.4011,252,18.3,1.98,34.9
0.06417,0,5.96,"No",0.499,5.933,68.2,3.3603,279,19.2,9.68,18.9
0.05372,0,13.92,"No",0.437,6.549,51,5.9604,289,16,7.39,27.1
38.3518,0,18.1,"No",0.693,5.453,100,1.4896,666,20.2,30.59,5
6.96215,0,18.1,"No",0.7,5.713,97,1.9265,666,20.2,17.11,15.1
4.26131,0,18.1,"No",0.77,6.112,81.3,2.5091,666,20.2,12.67,22.6
0.13158,0,10.01,"No",0.547,6.176,72.5,2.7301,432,17.8,12.04,21.2
11.9511,0,18.1,"No",0.659,5.608,100,1.2852,666,20.2,12.13,27.9
0.21977,0,6.91,"No",0.448,5.602,62,6.0877,233,17.9,16.2,19.4
0.01096,55,2.25,"No",0.389,6.453,31.9,7.3073,300,15.3,8.23,22
0.36894,22,5.86,"No",0.431,8.259,8.4,8.9067,330,19.1,3.54,42.8
0.15876,0,10.81,"No",0.413,5.961,17.5,5.2873,305,19.2,9.88,21.7
14.4208,0,18.1,"No",0.74,6.461,93.3,2.0026,666,20.2,18.05,9.6
1.80028,0,19.58,"No",0.605,5.877,79.2,2.4259,403,14.7,12.14,23.8
0.26169,0,9.9,"No",0.544,6.023,90.4,2.834,304,18.4,11.72,19.4
0.12329,0,10.01,"No",0.547,5.913,92.9,2.3534,432,17.8,16.21,18.8
0.33147,0,6.2,"No",0.507,8.247,70.4,3.6519,307,17.4,3.95,48.3
7.75223,0,18.1,"No",0.713,6.301,83.7,2.7831,666,20.2,16.23,14.9
0.09164,0,10.81,"No",0.413,6.065,7.8,5.2873,305,19.2,5.52,22.8
0.67191,0,8.14,"No",0.538,5.813,90.3,4.682,307,21,14.81,16.6
41.5292,0,18.1,"No",0.693,5.531,85.4,1.6074,666,20.2,27.38,8.5
0.63796,0,8.14,"No",0.538,6.096,84.5,4.4619,307,21,10.26,18.2
0.17171,25,5.13,"No",0.453,5.966,93.4,6.8185,284,19.7,14.44,16
1.19294,0,21.89,"No",0.624,6.326,97.7,2.271,437,21.2,12.26,19.6
1.61282,0,8.14,"No",0.538,6.096,96.9,3.7598,307,21,20.34,13.5
0.03041,0,5.19,"No",0.515,5.895,59.6,5.615,224,20.2,10.56,18.5
3.56868,0,18.1,"No",0.58,6.437,75,2.8965,666,20.2,14.36,23.2
0.08308,0,2.46,"No",0.488,5.604,89.8,2.9879,193,17.8,13.98,26.4
1.12658,0,19.58,"Yes",0.871,5.012,88,1.6102,403,14.7,12.12,15.3
0.05023,35,6.06,"No",0.4379,5.706,28.4,6.6407,304,16.9,12.43,17.1
2.37857,0,18.1,"No",0.583,5.871,41.9,3.724,666,20.2,13.34,20.6
5.58107,0,18.1,"No",0.713,6.436,87.9,2.3158,666,20.2,16.22,14.3
0.537,0,6.2,"No",0.504,5.981,68.1,3.6715,307,17.4,11.65,24.3
0.95577,0,8.14,"No",0.538,6.047,88.8,4.4534,307,21,17.28,14.8
14.3337,0,18.1,"No",0.7,4.88,100,1.5895,666,20.2,30.62,10.2
2.36862,0,19.58,"No",0.871,4.926,95.7,1.4608,403,14.7,29.53,14.6
0.34109,0,7.38,"No",0.493,6.415,40.1,4.7211,287,19.6,6.12,25
0.10328,25,5.13,"No",0.453,5.927,47.2,6.932,284,19.7,9.22,19.6
0.05644,40,6.41,"Yes",0.447,6.758,32.9,4.0776,254,17.6,3.53,32.4
0.04203,28,15.04,"No",0.464,6.442,53.6,3.6659,270,18.2,8.16,22.9
0.03445,82.5,2.03,"No",0.415,6.162,38.4,6.27,348,14.7,7.43,24.1
0.03961,0,5.19,"No",0.515,6.037,34.5,5.9853,224,20.2,8.01,21.1
0.11329,30,4.93,"No",0.428,6.897,54.3,6.3361,300,16.6,11.38,22
45.7461,0,18.1,"No",0.693,4.519,100,1.6582,666,20.2,36.98,7
0.03578,20,3.33,"No",0.4429,7.82,64.5,4.6947,216,14.9,3.76,45.4
9.32909,0,18.1,"No",0.713,6.185,98.7,2.2616,666,20.2,18.13,14.1
4.22239,0,18.1,"Yes",0.77,5.803,89,1.9047,666,20.2,14.64,16.8
12.2472,0,18.1,"No",0.584,5.837,59.7,1.9976,666,20.2,15.69,10.2
15.0234,0,18.1,"No",0.614,5.304,97.3,2.1007,666,20.2,24.91,12
0.22188,20,6.96,"Yes",0.464,7.691,51.8,4.3665,223,18.6,6.58,35.2
28.6558,0,18.1,"No",0.597,5.155,100,1.5894,666,20.2,20.08,16.3
0.06129,20,3.33,"Yes",0.4429,7.645,49.7,5.2119,216,14.9,3.01,46
0.26938,0,9.9,"No",0.544,6.266,82.8,3.2628,304,18.4,7.9,21.6
0.06211,40,1.25,"No",0.429,6.49,44.4,8.7921,335,19.7,5.98,22.9
0.13587,0,10.59,"Yes",0.489,6.064,59.1,4.2392,277,18.6,14.66,24.4
0.1403,22,5.86,"No",0.431,6.487,13,7.3967,330,19.1,5.9,24.4
0.04462,25,4.86,"No",0.426,6.619,70.4,5.4007,281,19,7.22,23.9
0.11504,0,2.89,"No",0.445,6.163,69.6,3.4952,276,18,11.34,21.4
7.67202,0,18.1,"No",0.693,5.747,98.9,1.6334,666,20.2,19.92,8.5
5.70818,0,18.1,"No",0.532,6.75,74.9,3.3317,666,20.2,7.74,23.7
8.79212,0,18.1,"No",0.584,5.565,70.6,2.0635,666,20.2,17.16,11.7
0.01311,90,1.22,"No",0.403,7.249,21.9,8.6966,226,17.9,4.81,35.4
0.03871,52.5,5.32,"No",0.405,6.209,31.3,7.3172,293,16.6,7.14,23.2
0.16211,20,6.96,"No",0.464,6.24,16.3,4.429,223,18.6,6.59,25.2
0.03768,80,1.52,"No",0.404,7.274,38.3,7.309,329,12.6,6.62,34.6
0.02899,40,1.25,"No",0.429,6.939,34.5,8.7921,335,19.7,5.89,26.6
0.44791,0,6.2,"Yes",0.507,6.726,66.5,3.6519,307,17.4,8.05,29
0.05425,0,4.05,"No",0.51,6.315,73.4,3.3175,296,16.6,6.29,24.6
0.01778,95,1.47,"No",0.403,7.135,13.9,7.6534,402,17,4.45,32.9
0.5405,20,3.97,"No",0.575,7.47,52.6,2.872,264,13,3.16,43.5
0.15086,0,27.74,"No",0.609,5.454,92.7,1.8209,711,20.1,18.06,15.2
0.14866,0,8.56,"No",0.52,6.727,79.9,2.7778,384,20.9,9.42,27.5
5.66998,0,18.1,"Yes",0.631,6.683,96.8,1.3567,666,20.2,3.73,50
10.8342,0,18.1,"No",0.679,6.782,90.8,1.8195,666,20.2,25.79,7.5
0.02731,0,7.07,"No",0.469,6.421,78.9,4.9671,242,17.8,9.14,21.6
11.5779,0,18.1,"No",0.7,5.036,97,1.77,666,20.2,25.68,9.7
0.34006,0,21.89,"No",0.624,6.458,98.9,2.1185,437,21.2,12.6,19.2
0.0187,85,4.15,"No",0.429,6.516,27.7,8.5353,351,17.9,6.36,23.1
2.924,0,19.58,"No",0.605,6.101,93,2.2834,403,14.7,9.81,25
0.08221,22,5.86,"No",0.431,6.957,6.8,8.9067,330,19.1,3.53,29.6
3.53501,0,19.58,"Yes",0.871,6.152,82.6,1.7455,403,14.7,15.02,15.6
0.09103,0,2.46,"No",0.488,7.155,92.2,2.7006,193,17.8,4.82,37.9
0.04011,80,1.52,"No",0.404,7.287,34.1,7.309,329,12.6,4.08,33.3
0.11425,0,13.89,"Yes",0.55,6.373,92.4,3.3633,276,16.4,10.5,23
9.39063,0,18.1,"No",0.74,5.627,93.9,1.8172,666,20.2,22.88,12.8
0.27957,0,9.69,"No",0.585,5.926,42.6,2.3817,391,19.2,13.59,24.5
11.1081,0,18.1,"No",0.668,4.906,100,1.1742,666,20.2,34.77,13.8
0.19073,22,5.86,"No",0.431,6.718,17.5,7.8265,330,19.1,6.56,26.2
8.26725,0,18.1,"Yes",0.668,5.875,89.6,1.1296,666,20.2,8.88,50
0.13914,0,4.05,"No",0.51,5.572,88.5,2.5961,296,16.6,14.69,23.1
0.0795,60,1.69,"No",0.411,6.579,35.9,10.7103,411,18.3,5.49,24.1
0.03659,25,4.86,"No",0.426,6.302,32.2,5.4007,281,19,6.72,24.8
1.6566,0,19.58,"No",0.871,6.122,97.3,1.618,403,14.7,14.1,21.5
0.05789,12.5,6.07,"No",0.409,5.878,21.4,6.498,345,18.9,8.1,22
0.25199,0,10.59,"No",0.489,5.783,72.7,4.3549,277,18.6,18.06,22.5
0.11132,0,27.74,"No",0.609,5.983,83.5,2.1099,711,20.1,13.35,20.1
5.87205,0,18.1,"No",0.693,6.405,96,1.6768,666,20.2,19.37,12.5
0.57834,20,3.97,"No",0.575,8.297,67,2.4216,264,13,7.44,50
0.03537,34,6.09,"No",0.433,6.59,40.4,5.4917,329,16.1,9.5,22
0.0578,0,2.46,"No",0.488,6.98,58.4,2.829,193,17.8,5.04,37.2
1.46336,0,19.58,"No",0.605,7.489,90.8,1.9709,403,14.7,1.73,50
9.51363,0,18.1,"No",0.713,6.728,94.1,2.4961,666,20.2,18.71,14.9
0.19539,0,10.81,"No",0.413,6.245,6.2,5.2873,305,19.2,7.54,23.4
5.09017,0,18.1,"No",0.713,6.297,91.8,2.3682,666,20.2,17.27,16.1
0.07875,45,3.44,"No",0.437,6.782,41.1,3.7886,398,15.2,6.68,32
0.06076,0,11.93,"No",0.573,6.976,91,2.1675,273,21,5.64,23.9
3.8497,0,18.1,"Yes",0.77,6.395,91,2.5052,666,20.2,13.27,21.7
0.0837,45,3.44,"No",0.437,7.185,38.9,4.5667,398,15.2,5.39,34.9
1.27346,0,19.58,"Yes",0.605,6.25,92.6,1.7984,403,14.7,5.5,27
6.28807,0,18.1,"No",0.74,6.341,96.4,2.072,666,20.2,17.79,14.9
0.2498,0,21.89,"No",0.624,5.857,98.2,1.6686,437,21.2,21.32,13.3
4.03841,0,18.1,"No",0.532,6.229,90.7,3.0993,666,20.2,12.87,19.6
