"crime","zone","nonretail","river","nox","room","age","distance","tax","PTratio","lower"
0.55778,0,21.89,"No",0.624,6.335,98.2,2.1107,437,21.2,16.96
0.32264,0,21.89,"No",0.624,5.942,93.5,1.9669,437,21.2,16.9
1.62864,0,21.89,"No",0.624,5.019,100,1.4394,437,21.2,34.41
4.0974,0,19.58,"No",0.871,5.468,100,1.4118,403,14.7,26.42
2.37934,0,19.58,"No",0.871,6.13,100,1.4191,403,14.7,27.8
2.14918,0,19.58,"No",0.871,5.709,98.5,1.6232,403,14.7,15.79
1.41385,0,19.58,"Yes",0.871,6.129,96,1.7494,403,14.7,15.12
1.22358,0,19.58,"No",0.605,6.943,97.4,1.8773,403,14.7,4.59
1.34284,0,19.58,"No",0.605,6.066,100,1.7573,403,14.7,6.43
1.51902,0,19.58,"Yes",0.605,8.375,93.9,2.162,403,14.7,3.32
2.3004,0,19.58,"No",0.605,6.319,96.1,2.1,403,14.7,11.1
1.20742,0,19.58,"No",0.605,5.875,94.6,2.4259,403,14.7,14.43
0.08447,0,4.05,"No",0.51,5.859,68.7,2.7019,296,16.6,9.64
0.07022,0,4.05,"No",0.51,6.02,47.2,3.5549,296,16.6,10.11
0.06642,0,4.05,"No",0.51,6.86,74.4,2.9153,296,16.6,6.92
0.06888,0,2.46,"No",0.488,6.144,62.2,2.5979,193,17.8,9.45
0.10008,0,2.46,"No",0.488,6.563,95.6,2.847,193,17.8,5.68
0.06047,0,2.46,"No",0.488,6.153,68.8,3.2797,193,17.8,13.15
0.12579,45,3.44,"No",0.437,6.556,29.1,4.5667,398,15.2,4.56
0.06911,45,3.44,"No",0.437,6.739,30.8,6.4798,398,15.2,4.69
0.0315,95,1.47,"No",0.403,6.975,15.3,7.6534,402,17,4.56
0.02177,82.5,2.03,"No",0.415,7.61,15.7,6.27,348,14.7,3.11
0.43571,0,10.59,"Yes",0.489,5.344,100,3.875,277,18.6,23.09
0.19802,0,10.59,"No",0.489,6.182,42.4,3.9454,277,18.6,9.47
0.62356,0,6.2,"Yes",0.507,6.879,77.7,3.2721,307,17.4,9.93
0.38214,0,6.2,"No",0.504,8.04,86.5,3.2157,307,17.4,3.13
0.41238,0,6.2,"No",0.504,7.163,79.9,3.2157,307,17.4,6.36
0.46296,0,6.2,"No",0.504,7.412,76.9,3.6715,307,17.4,5.25
0.33045,0,6.2,"No",0.507,6.086,61.5,3.6519,307,17.4,10.88
0.09252,30,4.93,"No",0.428,6.606,42.2,6.1899,300,16.6,7.37
0.12757,30,4.93,"No",0.428,6.393,7.8,7.0355,300,16.6,5.19
0.20608,22,5.86,"No",0.431,5.593,76.5,7.9549,330,19.1,12.5
0.03548,80,3.64,"No",0.392,5.876,19.1,9.2203,315,16.4,9.25
0.01538,90,3.75,"No",0.394,7.454,34.2,6.3361,244,15.9,3.11
0.61154,20,3.97,"No",0.647,8.704,86.9,1.801,264,13,5.12
0.65665,20,3.97,"No",0.647,6.842,100,2.0107,264,13,6.9
0.54011,20,3.97,"No",0.647,7.203,81.8,2.1121,264,13,9.59
0.53412,20,3.97,"No",0.647,7.52,89.4,2.1398,264,13,7.26
0.82526,20,3.97,"No",0.647,7.327,94.5,2.0788,264,13,11.25
0.76162,20,3.97,"No",0.647,5.56,62.8,1.9865,264,13,10.45
0.09604,40,6.41,"No",0.447,6.854,42.8,4.2673,254,17.6,2.98
0.06127,40,6.41,"Yes",0.447,6.826,27.6,4.8628,254,17.6,4.16
0.07886,80,4.95,"No",0.411,7.148,27.7,5.1167,245,19.2,3.56
0.08265,0,13.92,"No",0.437,6.127,18.4,5.5027,289,16,8.58
0.04417,70,2.24,"No",0.4,6.871,47.4,7.8278,358,14.8,6.07
0.09266,34,6.09,"No",0.433,6.495,18.4,5.4917,329,16.1,8.67
0.04932,33,2.18,"No",0.472,6.849,70.3,3.1827,222,18.4,7.53
0.3494,0,9.9,"No",0.544,5.972,76.7,3.1025,304,18.4,9.97
2.63548,0,9.9,"No",0.544,4.973,37.8,2.5194,304,18.4,12.64
0.79041,0,9.9,"No",0.544,6.122,52.8,2.6403,304,18.4,5.98
0.3692,0,9.9,"No",0.544,6.567,87.3,3.6023,304,18.4,9.28
0.31827,0,9.9,"No",0.544,5.914,83.2,3.9986,304,18.4,18.33
0.24522,0,9.9,"No",0.544,5.782,71.7,4.0317,304,18.4,15.94
0.1676,0,7.38,"No",0.493,6.426,52.3,4.5404,287,19.6,7.2
0.18159,0,7.38,"No",0.493,6.376,54.3,4.5404,287,19.6,6.87
0.35114,0,7.38,"No",0.493,6.041,49.9,4.7211,287,19.6,7.7
0.05083,0,5.19,"No",0.515,6.316,38.1,6.4584,224,20.2,5.68
0.03738,0,5.19,"No",0.515,6.31,38.5,6.4584,224,20.2,6.75
0.03427,0,5.19,"No",0.515,5.869,46.3,5.2311,224,20.2,9.8
0.06151,0,5.19,"No",0.515,5.968,58.5,4.8122,224,20.2,9.29
0.06162,0,4.39,"No",0.442,5.898,52.3,8.0136,352,18.8,12.67
0.01501,80,2.01,"No",0.435,6.635,29.7,8.344,280,17,5.99
0.10659,80,1.91,"No",0.413,5.936,19.5,10.5857,334,22,5.57
8.98296,0,18.1,"Yes",0.77,6.212,97.4,2.1222,666,20.2,17.6
4.54192,0,18.1,"No",0.77,6.398,88,2.5182,666,20.2,7.79
3.67822,0,18.1,"No",0.77,5.362,96.2,2.1036,666,20.2,10.19
3.47428,0,18.1,"Yes",0.718,8.78,82.9,1.9047,666,20.2,5.29
3.69695,0,18.1,"No",0.718,4.963,91.4,1.7523,666,20.2,14
4.89822,0,18.1,"No",0.631,4.97,100,1.3325,666,20.2,3.26
9.2323,0,18.1,"No",0.631,6.216,100,1.1691,666,20.2,9.53
19.6091,0,18.1,"No",0.671,7.313,97.9,1.3163,666,20.2,13.44
23.6482,0,18.1,"No",0.671,6.38,96.2,1.3861,666,20.2,23.69
17.8667,0,18.1,"No",0.671,6.223,100,1.3861,666,20.2,21.78
88.9762,0,18.1,"No",0.671,6.968,91.9,1.4165,666,20.2,17.21
20.0849,0,18.1,"No",0.7,4.368,91.2,1.4395,666,20.2,30.63
16.8118,0,18.1,"No",0.7,5.277,98.1,1.4261,666,20.2,30.81
24.3938,0,18.1,"No",0.7,4.652,100,1.4672,666,20.2,28.28
22.5971,0,18.1,"No",0.7,5,89.5,1.5184,666,20.2,31.99
8.64476,0,18.1,"No",0.693,6.193,92.6,1.7912,666,20.2,15.17
9.91655,0,18.1,"No",0.693,5.852,77.8,1.5004,666,20.2,29.97
9.59571,0,18.1,"No",0.693,6.404,100,1.639,666,20.2,20.31
20.7162,0,18.1,"No",0.659,4.138,100,1.1781,666,20.2,23.34
14.4383,0,18.1,"No",0.597,6.852,100,1.4655,666,20.2,19.78
51.1358,0,18.1,"No",0.597,5.757,100,1.413,666,20.2,10.11
7.05042,0,18.1,"No",0.614,6.103,85.1,2.0218,666,20.2,23.29
15.8603,0,18.1,"No",0.679,5.896,95.4,1.9096,666,20.2,24.39
7.36711,0,18.1,"No",0.679,6.193,78.1,1.9356,666,20.2,21.52
9.33889,0,18.1,"No",0.679,6.38,95.6,1.9682,666,20.2,24.08
13.6781,0,18.1,"No",0.74,5.935,87.9,1.8206,666,20.2,34.02
22.0511,0,18.1,"No",0.74,5.818,92.4,1.8662,666,20.2,22.11
9.92485,0,18.1,"No",0.74,6.251,96.6,2.198,666,20.2,16.44
6.71772,0,18.1,"No",0.713,6.749,92.6,2.3236,666,20.2,17.44
5.44114,0,18.1,"No",0.713,6.655,98.2,2.3552,666,20.2,17.73
8.24809,0,18.1,"No",0.713,7.393,99.3,2.4527,666,20.2,16.74
4.66883,0,18.1,"No",0.713,5.976,87.9,2.5806,666,20.2,19.01
6.80117,0,18.1,"No",0.713,6.081,84.4,2.7175,666,20.2,14.7
3.69311,0,18.1,"No",0.713,6.376,88.4,2.5671,666,20.2,14.65
4.42228,0,18.1,"No",0.584,6.003,94.5,2.5403,666,20.2,21.32
15.5757,0,18.1,"No",0.58,5.926,71,2.9084,666,20.2,18.13
4.64689,0,18.1,"No",0.614,6.98,67.6,2.5329,666,20.2,11.66
8.05579,0,18.1,"No",0.584,5.427,95.4,2.4298,666,20.2,18.14
4.87141,0,18.1,"No",0.614,6.484,93.6,2.3053,666,20.2,18.68
10.233,0,18.1,"No",0.614,6.185,96.7,2.1705,666,20.2,18.03
3.67367,0,18.1,"No",0.583,6.312,51.9,3.9917,666,20.2,10.58
5.69175,0,18.1,"No",0.583,6.114,79.8,3.5459,666,20.2,14.98
0.20746,0,27.74,"No",0.609,5.093,98,1.8226,711,20.1,29.68
0.17331,0,9.69,"No",0.585,5.707,54,2.3817,391,19.2,12.01
0.2896,0,9.69,"No",0.585,5.39,72.9,2.7986,391,19.2,21.14
0.23912,0,9.69,"No",0.585,6.019,65.3,2.4091,391,19.2,12.92
0.06263,0,11.93,"No",0.573,6.593,69.1,2.4786,273,21,9.67
0.04741,0,11.93,"No",0.573,6.03,80.8,2.505,273,21,7.88
